key,school,lat,lng,校名全銜,等級別,縣市名稱,公/私立,原區,是否重點學校,地址,全校班級數,全校學生數,原住民籍學生總數,主要/次要民族（30%以上）                     ,主要民族學生總數,次要民族學生總數,阿美族,泰雅族,排灣族,布農族,卑南族,魯凱族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報族籍
0,市立大同國小,24.9813252,121.4174652,新北市樹林區大同國民小學,國小,新北市,公立,否,是,[238]新北市樹林區大同里大同街43號,56,1398,102,阿美族,83,0,83,3,2,3,6,0,0,0,0,0,2,3,0,0,0,0,0
1,市立三峽國小,24.9345806,121.3700769,新北市三峽區三峽國民小學,國小,新北市,公立,否,是,[237]新北市三峽區中山路16號,52,1317,102,阿美族,74,0,74,6,7,7,1,0,0,2,0,0,0,5,0,0,0,0,0
2,市立樟樹國小,25.0664982,121.6417674,新北市汐止區樟樹國民小學,國小,新北市,公立,否,是,[221]新北市汐止區樟樹一路141巷2號,25,586,108,阿美族,98,0,98,3,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,市立僑愛國小,24.920377,121.2928398,桃園市大溪區僑愛國民小學,國小,桃園市,公立,否,是,[335]桃園市大溪區仁義里介壽路214號,35,828,168,阿美族/泰雅族,90,55,90,55,11,9,0,1,1,1,0,0,0,0,0,0,0,0,0
4,縣立豐里國小,22.7367818,121.1218194,臺東縣臺東市豐里國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市中華路三段80號,8,130,66,阿美族,54,0,54,1,2,1,6,1,0,0,1,0,0,0,0,0,0,0,0
5,縣立豐榮國小,22.746715,121.137239,臺東縣臺東市豐榮國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市中華路二段154巷150號,17,405,168,阿美族,107,0,107,1,36,7,12,0,0,0,2,0,0,0,0,3,0,0,0
6,縣立康樂國小,22.7544289,121.1195118,臺東縣臺東市康樂國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市山西路一段256號,12,249,95,阿美族,63,0,63,0,15,6,8,0,0,0,3,0,0,0,0,0,0,0,0
7,縣立豐年國小,22.7710435,121.1111593,臺東縣臺東市豐年國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市中興路三段320號,6,62,48,阿美族,25,0,25,0,12,5,3,2,0,0,1,0,0,0,0,0,0,0,0
8,卑南國小,22.7819112,121.1195137,臺東縣臺東市卑南國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市卑南里更生北路317號,13,258,104,阿美族,61,0,61,0,3,20,14,0,0,0,4,0,0,2,0,0,0,0,0
9,縣立岩灣國小,22.8064951,121.1249003,臺東縣臺東市岩灣國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市岩灣路50巷401弄11號,6,56,21,阿美族,17,0,17,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10,縣立豐田國小,22.774836,121.086367,臺東縣臺東市豐田國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市中興路四段750號,14,246,115,阿美族,48,0,48,0,26,2,31,5,0,2,0,0,0,1,0,0,0,0,0
11,縣立富岡國小,22.7942873,121.1938238,臺東縣臺中市富岡國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市松江路一段441號,6,63,36,阿美族,32,0,32,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
12,初鹿國小,22.8602404,121.0922338,臺東縣卑南鄉初鹿國民小學,國小,臺東縣,公立,是,是,[954]臺東縣卑南鄉初鹿村梅園路97號,6,99,52,阿美族/卑南族,31,20,31,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
13,縣立富山國小,22.8316741,121.1767658,臺東縣卑南鄉富山國民小學,國小,臺東縣,公立,是,是,[954]臺東縣卑南鄉富山村漁場三鄰66號,11,67,29,阿美族,24,0,24,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
14,縣立鹿野國小,22.9091532,121.1363855,臺東縣鹿野鄉鹿野國民小學,國小,臺東縣,公立,是,是,[955]臺東縣鹿野鄉鹿野村中華路一段402號,6,51,25,阿美族,17,0,17,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0
15,縣立永安國小,22.9330641,121.1281921,臺東縣鹿野鄉永安國民小學,國小,臺東縣,公立,是,是,[955]臺東縣鹿野鄉永安村鹿寮路31號,6,51,24,阿美族,21,0,21,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
16,縣立瑞豐國小,22.9787698,121.1374914,臺東縣鹿野鄉瑞豐國民小學,國小,臺東縣,公立,是,是,[955]臺東縣鹿野鄉瑞豐村中山路67號,6,40,14,阿美族,10,0,10,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
17,縣立瑞源國小,22.9580605,121.1555403,臺東縣鹿野鄉瑞源國民小學,國小,臺東縣,公立,是,是,[955]臺東縣鹿野鄉瑞源村文化路67號,6,90,44,阿美族,41,0,41,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
18,縣立關山國小,23.0499028,121.1635582,臺東縣關山鎮關山國民小學,國小,臺東縣,公立,是,是,[956]臺東縣關山鎮中華路101號,15,321,135,阿美族/布農族,76,48,76,6,0,48,0,0,0,2,0,0,0,3,0,0,0,0,0
19,縣立月眉國小,23.009368,121.148618,臺東縣關山鎮月眉國民小學,國小,臺東縣,公立,是,是,[956]臺東縣關山鎮月眉里盛豐路二鄰1號,6,19,7,阿美族,6,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,縣立德高國小,23.0741596,121.1779861,臺東縣關山鎮德高國民小學,國小,臺東縣,公立,是,是,[956]臺東縣關山鎮德高里7鄰永豐16號,6,29,26,阿美族,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,電光國小,23.010073,121.173513,臺東縣關山鎮電光國民小學,國小,臺東縣,公立,是,是,[956]臺東縣關山鎮電光里中興路93號,6,17,16,阿美族,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,縣立大坡國小,23.1259838,121.2268647,臺東縣池上鄉大坡國民小學,國小,臺東縣,公立,是,是,[958]臺東縣池上鄉慶豐村八鄰87號,6,30,15,阿美族,14,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,縣立萬安國小,23.095415,121.218516,臺東縣池上鄉萬安國民小學,國小,臺東縣,公立,是,是,[958]臺東縣池上鄉萬安村一鄰5之2號,10,55,21,阿美族,13,0,13,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
24,縣立東河國小,22.9691362,121.3031509,臺東縣東河鄉東河國民小學,國小,臺東縣,公立,是,是,[959]臺東縣東河鄉東河村十六鄰35號,6,40,27,阿美族,24,0,24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
25,縣立都蘭國小,22.8742934,121.217363,臺東縣東河鄉都蘭國民小學,國小,臺東縣,公立,是,是,[959]臺東縣東河鄉都蘭村431號,6,70,35,阿美族,29,0,29,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
26,縣立泰源國小,23.0020802,121.2511908,臺東縣東河鄉泰源國民小學,國小,臺東縣,公立,是,是,[959]臺東縣東河鄉泰源村11鄰297號,6,75,48,阿美族,47,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,縣立北源國小,23.0394941,121.2922515,臺東縣東河鄉北源國民小學,國小,臺東縣,公立,是,是,[959]臺東縣東河鄉北源村順那21號,6,18,12,阿美族,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,縣立三民國小,23.1020974,121.3712347,臺東縣成功鎮三民國民小學,國小,臺東縣,公立,是,是,[961]臺東縣成功鎮三民路18號,12,93,70,阿美族,64,0,64,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,縣立信義國小,23.0270146,121.330733,臺東縣成功鎮信義國民小學,國小,臺東縣,公立,是,是,[961]臺東縣成功鎮信義里都歷路58號,6,60,51,阿美族,50,0,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
