校名簡稱,校名全銜,等級別,縣市名稱,公/私立,原區,是否重點學校,地址,電話,學校網址,全校班級數,全校學生數,原住民籍學生總數,原住民籍學生總數占該校學生總數比率,主要/次要民族（30%以上）                     ,主要民族學生總數,主要民族占該校原住民籍學生總數比率,次要民族學生總數,次要民族占該校原住民籍學生總數比率,阿美族,泰雅族,排灣族,布農族,卑南族,魯凱族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報族籍
市立大同國小,新北市樹林區大同國民小學,國小,新北市,公立,否,是,[238]新北市樹林區大同里大同街43號,(02)86865486,http://www.ttps.ntpc.edu.tw,56,1398,102,0.07,阿美族,83,0.81,0,0,83,3,2,3,6,0,0,0,0,0,2,3,0,0,0,0,0
市立三峽國小,新北市三峽區三峽國民小學,國小,新北市,公立,否,是,[237]新北市三峽區中山路16號,(02)26711018,http://www.shps.ntpc.edu.tw,52,1317,102,0.08,阿美族,74,0.73,0,0,74,6,7,7,1,0,0,2,0,0,0,5,0,0,0,0,0
市立樟樹國小,新北市汐止區樟樹國民小學,國小,新北市,公立,否,是,[221]新北市汐止區樟樹一路141巷2號,(02)26421407,http://www.tctes.ntpc.edu.tw,25,586,108,0.18,阿美族,98,0.91,0,0,98,3,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0
市立僑愛國小,桃園市大溪區僑愛國民小學,國小,桃園市,公立,否,是,[335]桃園市大溪區仁義里介壽路214號,(03)3801896,http://www.caes.tyc.edu.tw,35,828,168,0.2,阿美族/泰雅族,90,0.54,55,0.33,90,55,11,9,0,1,1,1,0,0,0,0,0,0,0,0,0
縣立豐里國小,臺東縣臺東市豐里國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市中華路三段80號,(089)324040,http://www.flps.ttct.edu.tw,8,130,66,0.51,阿美族,54,0.82,0,0,54,1,2,1,6,1,0,0,1,0,0,0,0,0,0,0,0
縣立豐榮國小,臺東縣臺東市豐榮國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市中華路二段154巷150號,(089)323353,http://www.frps.ttct.edu.tw,17,405,168,0.41,阿美族,107,0.64,0,0,107,1,36,7,12,0,0,0,2,0,0,0,0,3,0,0,0
縣立康樂國小,臺東縣臺東市康樂國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市山西路一段256號,(089)226131,http://www.klps.ttct.edu.tw,12,249,95,0.38,阿美族,63,0.66,0,0,63,0,15,6,8,0,0,0,3,0,0,0,0,0,0,0,0
縣立豐年國小,臺東縣臺東市豐年國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市中興路三段320號,(089)226733,http://www.fnps.ttct.edu.tw,6,62,48,0.77,阿美族,25,0.52,0,0,25,0,12,5,3,2,0,0,1,0,0,0,0,0,0,0,0
卑南國小,臺東縣臺東市卑南國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市卑南里更生北路317號,(089)223096,http://www.bnps.ttct.edu.tw,13,258,104,0.4,阿美族,61,0.59,0,0,61,0,3,20,14,0,0,0,4,0,0,2,0,0,0,0,0
縣立岩灣國小,臺東縣臺東市岩灣國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市岩灣路50巷401弄11號,(089)223415,http://www.yups.ttct.edu.tw,6,56,21,0.38,阿美族,17,0.81,0,0,17,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立豐田國小,臺東縣臺東市豐田國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市中興路四段750號,(089)380345,http://www.ftps.ttct.edu.tw,14,246,115,0.47,阿美族,48,0.42,0,0,48,0,26,2,31,5,0,2,0,0,0,1,0,0,0,0,0
縣立富岡國小,臺東縣臺中市富岡國民小學,國小,臺東縣,公立,是,是,[950]臺東縣臺東市松江路一段441號,(089)281352,http://www.fgps.ttct.edu.tw,6,63,36,0.57,阿美族,32,0.89,0,0,32,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
初鹿國小,臺東縣卑南鄉初鹿國民小學,國小,臺東縣,公立,是,是,[954]臺東縣卑南鄉初鹿村梅園路97號,(089)571027,http://www.clps.ttct.edu.tw,6,99,52,0.53,阿美族/卑南族,31,0.6,20,0.38,31,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
縣立富山國小,臺東縣卑南鄉富山國民小學,國小,臺東縣,公立,是,是,[954]臺東縣卑南鄉富山村漁場三鄰66號,(089)281086,http://www.fses.ttct.edu.tw,11,67,29,0.43,阿美族,24,0.83,0,0,24,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
縣立鹿野國小,臺東縣鹿野鄉鹿野國民小學,國小,臺東縣,公立,是,是,[955]臺東縣鹿野鄉鹿野村中華路一段402號,(089)551371,http://www.lyes.ttct.edu.tw,6,51,25,0.49,阿美族,17,0.68,0,0,17,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0
縣立永安國小,臺東縣鹿野鄉永安國民小學,國小,臺東縣,公立,是,是,[955]臺東縣鹿野鄉永安村鹿寮路31號,(089)551172,http://www.yaps.ttct.edu.tw,6,51,24,0.47,阿美族,21,0.88,0,0,21,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
縣立瑞豐國小,臺東縣鹿野鄉瑞豐國民小學,國小,臺東縣,公立,是,是,[955]臺東縣鹿野鄉瑞豐村中山路67號,(089)581118,http://www.rfps.ttct.edu.tw,6,40,14,0.35,阿美族,10,0.71,0,0,10,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
縣立瑞源國小,臺東縣鹿野鄉瑞源國民小學,國小,臺東縣,公立,是,是,[955]臺東縣鹿野鄉瑞源村文化路67號,(089)581064,http://www.ryes.ttct.edu.tw,6,90,44,0.49,阿美族,41,0.93,0,0,41,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
